hora-dia,val_Geracao
00:00-30-Mar,21,39
01:00-30-Mar,16,88
02:00-30-Mar,23,84
03:00-30-Mar,26,70
04:00-30-Mar,42,98
05:00-30-Mar,0,63
06:00-30-Mar,8,17
07:00-30-Mar,45,32
08:00-30-Mar,20,98
09:00-30-Mar,3,56
10:00-30-Mar,6,85
11:00-30-Mar,29,53
12:00-30-Mar,55,45
13:00-30-Mar,56,11
14:00-30-Mar,58,52
15:00-30-Mar,55.14
16:00-30-Mar,52,34
17:00-30-Mar,42,48
18:00-30-Mar,28,40
19:00-30-Mar,50,07
20:00-30-Mar,51,06
21:00-30-Mar,33,71
22:00-30-Mar,38,34
23:00-30-Mar,47,99
00:00-31-Mar,52,73
01:00-31-Mar,57,48
02:00-31-Mar,57,39
03:00-31-Mar,56,84
04:00-31-Mar,53,33
05:00-31-Mar,47,95
06:00-31-Mar,47,49
07:00-31-Mar,43,27
08:00-31-Mar,33,77
09:00-31-Mar,28,83
10:00-31-Mar,31,95
11:00-31-Mar,27,62
12:00-31-Mar,19,85
13:00-31-Mar,18,42
14:00-31-Mar,19,52
15:00-31-Mar,17,69
16:00-31-Mar,21,84
17:00-31-Mar,13,36
18:00-31-Mar,10,90
19:00-31-Mar,7,44
20:00-31-Mar,3,47
21:00-31-Mar,0,06
22:00-31-Mar,0
23:00-31-Mar,0
